,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.
2739,24.0,-32.0,1907.489938735962,362.2634,3067,25.68559036326052,-33.79097,253.6106025395758,320.9908
2740,24.0,-31.0,1957.1299958229065,117.65589,3067,25.68559036326052,-33.79097,347.75015228113296,476.3571
2741,24.0,-30.0,1952.749965190888,124.32411,3067,25.68559036326052,-33.79097,449.56700480866544,568.8473
2742,24.0,-29.0,1905.2999234199524,94.22351,3067,25.68559036326052,-33.79097,554.8407247049705,759.8654
2743,24.0,-27.0,1958.2249164581297,149.14883,3067,25.68559036326052,-33.79097,770.0345906845236,1093.8413
2744,24.0,-26.0,1916.6149735450745,107.64098,3067,25.68559036326052,-33.79097,878.8060741549614,1152.2735
2745,24.0,-25.0,1901.2850403785703,141.76337,2052,31.083391138778502,-29.858009526506063,882.9761400182423,1073.7729
2746,24.0,-24.0,1900.554919242859,136.35477,2630,32.571100798693614,-25.980385,892.4875471880113,1097.9647
2747,24.0,-19.0,1829.0150570869448,104.93884,2158,14.4829317368567,-22.897216421552,1079.4054351553198,1622.3738999999998
2748,24.0,-18.0,1835.950076580048,60.868652,2158,14.4829317368567,-22.897216421552,1130.9447121443302,1365.8746
2749,24.0,-17.0,1818.064980506897,81.82618,3174,34.834500584926026,-19.817735,1186.166326542518,1600.4935
2750,24.0,-15.0,1794.3399596214294,131.91415,4018,13.565215947580644,-12.341555,1166.3840005913244,2196.1891
2751,24.0,-14.0,1773.169927597046,44.520985,4018,13.565215947580644,-12.341555,1145.8930374164706,1419.0211000000002
2752,24.0,-12.0,1715.499930381775,75.39908,4018,13.565215947580644,-12.341555,1136.2118140473092,1406.7251
2753,24.0,-11.0,1670.6050515174866,32.593197,4018,13.565215947580644,-12.341555,1147.2808011714812,1730.7799
2754,24.0,-10.0,1657.4649596214294,48.74475,4018,13.565215947580644,-12.341555,1168.6477778475705,1740.3576
2755,24.0,-9.0,1613.30002784729,31.342146,4066,13.274734212926644,-8.777325000000001,1179.9018412163628,1593.7266000000002
2756,24.0,-8.0,1576.4349150657654,22.008211,4066,13.274734212926644,-8.777325000000001,1184.3196886669987,1730.8401
2757,24.0,-7.0,1564.7550654411316,39.18189,2675,13.424014107162384,-5.834595,1177.021114461506,1858.0565
2758,24.0,-6.0,1510.3700041770935,13.904555,2675,13.424014107162384,-5.834595,1171.2066889710068,1957.655
