,Port Code
852,3646
853,6024
854,3809
855,3032
856,3032
857,5402
858,5402
859,17301
860,17301
861,7061
862,2757
863,3887
864,18004
865,2640
866,3807
867,2770
868,3809
869,23840
870,3493
871,3493
872,17301
873,17301
874,2736
875,3512
876,3766
877,18004
878,3420
879,3420
880,3420
881,3420
882,6053
883,6053
884,2816
885,17287
886,4605
887,2736
888,3420
889,6053
890,6053
891,6053
892,3906
893,4201
894,2722
895,4620
896,6826
897,2682
898,2682
899,3420
900,3420
901,4637
902,27398
903,7073
904,4605
905,3994
906,3994
907,2009
908,2682
909,2682
910,2682
911,3420
912,3420
913,3911
914,27398
915,27398
916,27397
917,3858
918,3598
919,3159
920,2284
921,1144
922,5008
923,5008
924,4620
925,4620
926,2011
927,393
928,395
929,2342
930,2682
931,2682
932,2682
933,3887
934,3911
935,3911
936,3911
937,3911
938,3911
939,3898
940,1944
941,3507
942,5008
943,5008
944,4620
945,4620
946,3994
947,3994
948,2203
949,2202
950,206
951,2762
952,3532
953,3513
954,3281
955,49159
956,2912
957,6772
958,6772
959,6772
960,2682
961,3911
962,3911
963,3933
964,2819
965,2773
966,4620
967,3994
968,2009
969,2011
970,393
971,395
972,2202
973,2202
974,206
975,42927
976,3532
977,3281
978,49159
979,2912
980,2682
981,2594
982,4106
983,4106
984,4106
985,4106
986,7092
987,7092
988,2691
989,2691
990,2691
991,2009
992,2009
993,2011
994,393
995,395
996,2342
997,2202
998,2762
999,3532
1000,3513
1001,49159
1002,49159
1003,2912
1004,2682
1005,3861
1006,3861
1007,3861
1008,3861
1009,3861
1010,3861
1011,4195
1012,7092
1013,4623
1014,2691
1015,2691
1016,2009
1017,2011
1018,393
1019,395
1020,2342
1021,2202
1022,2202
1023,42927
1024,3532
1025,3513
1026,3281
1027,49159
1028,2682
1029,4448
1030,4448
1031,2917
1032,3613
1033,1936
1034,1936
1035,4623
1036,4623
1037,4623
1038,2691
1039,2691
1040,2728
1041,2728
1042,2728
1043,2728
1044,395
1045,2203
1046,2202
1047,2202
1048,42927
1049,3532
1050,3532
1051,3281
1052,2594
1053,2594
1054,4391
1055,2913
1056,7067
1057,10302
1058,4623
1059,2997
1060,2728
1061,2728
1062,2728
1063,2728
1064,2728
1065,2728
1066,2202
1067,2202
1068,2202
1069,42927
1070,3281
1071,2912
1072,2912
1073,2912
1074,2912
1075,3404
1076,3404
1077,3404
1078,1993
1079,1935
1080,2691
1081,2997
1082,2997
1083,2997
1084,6819
1085,2728
1086,2728
1087,2728
1088,2728
1089,2728
1090,2728
1091,2728
1092,2728
1093,2202
1094,42927
1095,3532
1096,3513
1097,3281
1098,2912
1099,2912
1100,2594
1101,3936
1102,3936
1103,3936
1104,6873
1105,3633
1106,3633
1107,2691
1108,2997
1109,2997
1110,2997
1111,2997
1112,6819
1113,2728
1114,2728
1115,2728
1116,2728
1117,2728
1118,2728
1119,2728
1120,2728
1121,3532
1122,3281
1123,3281
1124,49159
1125,49159
1126,2594
1127,2594
1128,2594
1129,2594
1130,3936
1131,3936
1132,3936
1133,17764
1134,2997
1135,2997
1136,3996
1137,6819
1138,6819
1139,2728
1140,2728
1141,2728
1142,2728
1143,2728
1144,2728
1145,2728
1146,42927
1147,3532
1148,49159
1149,2912
1150,2594
1151,2594
1152,2594
1153,3910
1154,3644
1155,2997
1156,2743
1157,3996
1158,6183
1159,2728
1160,2728
1161,2728
1162,2728
1163,2728
1164,2728
1165,2728
1166,3532
1167,3281
1168,2594
1169,2457
1170,2457
1171,2457
1172,2663
1173,3831
1174,3978
1175,3978
1176,3524
1177,49142
1178,2743
1179,23979
1180,2728
1181,2728
1182,2728
1183,2728
1184,2728
1185,3762
1186,3762
1187,3532
1188,49159
1189,2912
1190,2912
1191,2594
1192,2594
1193,5922
1194,5922
1195,2457
1196,4604
1197,3978
1198,3978
1199,3424
1200,3424
1201,4060
1202,4649
1203,3762
1204,3762
1205,3762
1206,3762
1207,3762
1208,3762
1209,3762
1210,3762
1211,3762
1212,3281
1213,2912
1214,6813
1215,6813
1216,3261
1217,4604
1218,3978
1219,3978
1220,3891
1221,3891
1222,5747
1223,4649
1224,3762
1225,3762
1226,3762
1227,3762
1228,3762
1229,3762
1230,3762
1231,3762
1232,3762
1233,5549
1234,5549
1235,5549
1236,49159
1237,6813
1238,6813
1239,6813
1240,6813
1241,6813
1242,6813
1243,28047
1244,29807
1245,4649
1246,3762
1247,3762
1248,3762
1249,3762
1250,3762
1251,3762
1252,3718
1253,5549
1254,5549
1255,5549
1256,5549
1257,6813
1258,6813
1259,7090
1260,17777
1261,17777
1262,2867
1263,2867
1264,3762
1265,3762
1266,3762
1267,3762
1268,3762
1269,3718
1270,3718
1271,3718
1272,5549
1273,5549
1274,5549
1275,5549
1276,5549
1277,6813
1278,6813
1279,6813
1280,6813
1281,6165
1282,3743
1283,3743
1284,7090
1285,7090
1286,17777
1287,17777
1288,3409
1289,3409
1290,3409
1291,4092
