,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Solar Array Size,Solar CapEx,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Solar,Yearly Cost Wind,Elec Cost Solar,Elec Cost Wind,Cheaper source,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2
10,-123.0,38.0,1555.630030632019,1252.9034,25477,-122.36638765475,38.074189145000005,56.2298238976564,85.53439999999999,1999477.8320975984,1399634482.468319,3.936112117097674,131.705587843178,331898081.36480856,152110566.67369017,58688134.78072374,48.903109247299625,18.868066364244196,Wind,253227837.5555476,5.064556751110952,20726.513311580773,2.8265488850363085,2.259229285064469,3.917966236417631,,2.259229285064469,LOHC,12975.57373756073,,112961464.25322345,366189301.808771,7.32378603617542
11,-123.0,39.0,1774.6299958229065,160.85782,25477,-122.36638765475,38.074189145000005,116.67709047085316,150.1059,1752730.2978735557,1226911208.511489,0.5053497455844693,1025.8399548602383,2585116686.2478004,133339212.14620328,288183426.6494742,42.86817281091948,92.6501419650421,Solar,327878914.9210271,6.557578298420543,20726.513311580773,2.8265488850363085,2.259229285064469,3.917966236417631,,2.259229285064469,LOHC,12865.069514343335,,112961464.25322345,440840379.1742506,8.816807583485012
12,-123.0,44.0,1353.0550062656405,105.11874,3772,-124.19684561280556,43.394895000000005,117.59287355246934,177.7877,2298833.1936176782,1609183235.5323749,0.33024026133861556,1569.7903038765146,3955871565.768817,174884069.30855414,427797838.8838014,56.22472477770215,137.53577353749853,Solar,369423772.08337796,7.388475441667559,20469.26256891178,2.826258757599536,2.2588041478303866,3.916276428316241,,2.2588041478303866,LOHC,12312.147942760204,,112940207.39151934,482363979.47489727,9.647279589497945
13,-123.0,45.0,1322.7600264549255,112.130135,3674,-122.768689375,45.58885,67.91199946917735,82.4316,2351483.0347044975,1646038124.2931483,0.3522672083620318,1471.6327489279874,3708514527.298528,178889413.6211711,402603978.14764947,57.51243144250702,129.43601984593337,Solar,373429116.3959949,7.468582327919898,20368.64963723788,2.8261442932204597,2.258636417849166,3.915609745987828,,2.258636417849166,LOHC,12201.485998958125,,112931820.8924583,486360937.2884532,9.727218745769065
14,-123.0,46.0,1204.1350090503693,161.96089,4038,-122.95979285813186,46.116775,13.347513630298392,29.5285,2583138.7160207704,1808197101.2145393,0.5088151421928646,1018.8532478903786,2567510184.683754,196512653.24530414,286390165.57552785,63.17825224297206,92.0736136927081,Solar,391052356.020128,7.82104712040256,20305.198953637217,2.8260718161558707,2.2162698402746757,3.9151876131062577,,2.2162698402746757,LOHC,12090.799017885796,,110813492.01373379,501865848.0338618,10.037316960677236
15,-123.0,50.0,1134.4200146198273,100.82697,1934,-123.2597273115,49.1586226685,95.44510763341904,143.7982,2741883.7124770046,1919318598.7339032,0.31675726823571854,1636.6095183433195,4124255986.225165,208589201.92213494,444948164.0386865,67.06082787323916,143.04955369765833,Solar,403128904.6969588,8.062578093939175,20178.00630192884,2.8259258447584585,2.2583163151523724,3.914337422401572,,2.2583163151523724,LOHC,11647.808339722833,,112915815.75761862,516044720.4545774,10.320894409091547
16,-123.0,53.0,1251.584963798523,143.02011,1934,-123.2597273115,49.1586226685,427.7387227673824,718.795,2485207.038405059,1739644926.8835413,0.4493109268916041,1153.784448968165,2907536811.3997755,189062486.6376536,321022628.56523955,60.78304512822836,103.20785083431406,Solar,383602189.41247743,7.672043788249549,20178.00630192884,2.8430253392356883,2.269411804259325,3.9254329115085245,,2.269411804259325,LOHC,11315.321810347625,,113470590.21296626,497072779.6254437,9.941455592508873
17,-122.0,37.0,1729.369969367981,47.989758,17916,-122.3300105515,37.7191834425,85.00376909053449,116.2179,1798601.696738599,1259021187.7170193,0.15076427118035202,3438.5332555274886,8665103803.929272,136828885.48164442,907443544.2016329,43.990092741219655,291.74048685945013,Solar,331368588.2564683,6.627371765129366,20716.55542907584,2.826537721692373,2.2592129268971184,3.9179012170274277,,2.2592129268971184,LOHC,13076.705099809222,,112960646.34485592,444329234.6013242,8.886584692026485
18,-122.0,38.0,1802.3700737953184,103.83032,6756,-122.0517320178623,38.02614,5.390433671432809,10.3994,1725754.220188667,1208027954.132067,0.3261925705318774,1589.2696739036953,4004959578.2373123,131287003.11571997,432797561.38045603,42.208393516090396,139.14316992557846,Solar,325826705.8905438,6.516534117810877,20754.951383253563,2.826580736202284,2.190234844501103,3.896915180495486,,2.190234844501103,LOHC,12966.432251399468,,109511742.22505516,435338448.115599,8.70676896231198
19,-122.0,39.0,1744.7000765800476,185.19633,6367,-121.55685725036533,38.561485000000005,62.0680787269046,88.3448,1782797.973672996,1247958581.5710971,0.581811429799791,891.0240219539792,2245380535.3240275,135626614.9525728,253580549.2608127,43.603566227554595,81.52541650899448,Solar,330166317.7273966,6.603326354547932,20842.59408623367,2.8266786238530983,2.259419397390062,3.918721882647148,,2.259419397390062,LOHC,12856.128508927835,,112970969.8695031,443137287.5968997,8.862745751937995
