,trip_count,prev_port,next_port,distance,frequency
6322017,1532559,2959,3553,12024.481272427694,0.5
6216525,109525,3553,2402,8.282889642540013,1.0
6246659,471415,6999,2367,540.1418726167803,0.3333333333333333
6216582,109557,6999,2367,198.51739617209782,0.6666666666666666
6415302,2610069,2148,2067,369.5226321008706,1.0
6439818,2871389,2067,7001,316.3387871910852,1.0
6355585,1857904,2742,2166,2774.287910966301,1.0
6448884,2970263,3572,15191,5699.140075056074,0.3076923076923077
6347222,1794600,3572,15191,12598.523487724724,0.6923076923076923
6447629,2964333,48876,2915,1612.3122815179042,1.0
6443044,2889880,15389,2005,1678.2386686089385,0.14814814814814814
6274134,932850,15389,2005,6033.092215798316,0.8518518518518519
6386191,2280909,1934,2794,19825.897873637645,1.0
6265432,833287,1940,1934,10038.260249870349,1.0
6346591,1788621,4043,27973,2657.167752824341,1.0
6404928,2447599,1628,7007,7042.217343097414,1.0
6732968,2731591,3637,2824,11931.171192755352,0.2222222222222222
6632389,1731891,3637,2824,11844.943225237588,0.7777777777777778
6313503,1386303,3099,7017,15630.895865984017,1.0
6332599,1615194,3097,3646,4726.136692772522,1.0
6436373,2829731,1595,1342,155.36475553821057,1.0
6648494,1839382,2040,3918,7848.7008423821435,1.0
6368921,2009267,3174,27090,2459.937611926076,0.4444444444444444
6348210,1805327,3174,27090,1100.1407604567287,0.5555555555555556
6216667,115252,23928,3254,187.93482877366313,1.0
6441152,2874859,2236,28119,9344.836247701149,1.0
6216960,115283,2110,2094,4003.826840781018,0.2727272727272727
6402546,2420925,2110,2094,4396.64372422079,0.7272727272727273
6291275,1090405,1611,2110,14736.1818809383,0.45454545454545453
6319085,1500887,1611,2110,5604.672064995868,0.5454545454545454
6423221,2669090,2110,3697,4222.998556143399,1.0
6382295,2243323,3697,7125,8271.87059768969,0.4444444444444444
6319801,1509779,3697,7125,10998.570749701657,0.5555555555555556
6400807,2387157,2050,2164,11851.244809172957,0.4
6349328,1805386,2050,2164,5222.841025597314,0.6
6369969,2013542,2164,2824,15362.077003052455,1.0
6320627,1528407,6874,3568,90.31372863136946,1.0
6285893,1025295,26825,2785,19.447759447422712,1.0
6406230,2502412,6776,4085,1977.716501782066,1.0
6217496,117036,4085,4623,1640.7083000197267,0.45454545454545453
6406599,2502413,4085,4623,1650.7034595115172,0.5454545454545454
6217740,117038,4623,23956,822.3408595427694,1.0
6217808,117120,2815,10750,227.9193283338845,0.2
6439763,2866604,2815,10750,250.49883597650455,0.8
6567045,1088911,3099,2236,33765.19956027159,0.26666666666666666
6736911,2736215,3099,2236,33412.57309859609,0.7333333333333333
6231939,247175,2090,2091,234.32801222059612,1.0
6262448,722345,1781,24134,51.9489356854949,1.0
6412183,2574508,4243,6868,3340.1023096734025,1.0
6275973,966020,1975,3414,1598.1072371066025,1.0
6217953,117333,6824,6806,1966.7755689255746,0.125
6302273,1249282,6824,6806,742.7473570053179,0.875
6433044,2787481,18648,2560,265.44883062225665,1.0
6242771,417891,2073,3671,129.84666128225408,0.46153846153846156
6337385,1684987,2073,3671,134.9841889633635,0.5384615384615384
6366036,1956001,3769,3099,9514.687461582798,0.3333333333333333
6273828,925142,3769,3099,8959.633807687374,0.6666666666666666
6557743,1046641,7144,3145,12648.054297707853,0.1
6704680,2454510,7144,3145,8393.734419368813,0.9
6294692,1108402,2104,3442,5012.660998573549,0.1111111111111111
6296601,1161309,2104,3442,4702.050787123362,0.8888888888888888
6295593,1133304,3442,1606,923.8283597664247,0.15151515151515152
6255882,579503,3442,1606,481.4395265622794,0.8484848484848485
6377050,2147880,1606,4043,4417.691791626846,0.4
6433143,2788160,1606,4043,4127.966426951876,0.6
6453662,3034218,6839,1973,608.3325383323524,0.4444444444444444
6356602,1876799,6839,1973,1853.850251588533,0.5555555555555556
6218111,117494,2815,25642,141.00902379870362,1.0
6373120,2064884,7125,2614,1348.426127760894,1.0
6655155,1871900,2614,3463,290.5121693144282,0.075
6634971,1769605,2614,3463,358.87663059551045,0.925
6450609,2992784,16816,2007,2844.2347454167657,1.0
6274212,953101,4106,3890,206.2983217926392,0.125
6274215,953103,4106,3890,206.2983217926392,0.125
6387284,2289242,4106,3890,220.14166067312513,0.125
6274209,953098,4106,3890,217.73111132386154,0.625
6233996,269432,24778,7144,5098.872081141288,0.5
6350423,1816849,24778,7144,6161.888332578409,0.5
6346148,1767057,6866,1975,405.44082364321025,1.0
6311946,1370277,2075,3954,12560.763347461245,1.0
6402054,2409372,2815,7092,7835.717505368189,1.0
6363158,1930905,1944,3099,3960.9640370114203,1.0
6264120,803084,1975,6839,0.9962260720380404,0.0625
6224831,176691,3120,6839,670.7270884069219,0.125
6352023,1822921,6839,6837,2.12933855419237,0.8125
6351917,1817746,3128,3269,9428.30096828792,1.0
6279929,983422,2005,17223,4551.274984415254,1.0
6368787,2008090,17223,17224,1.1565826289446213,1.0
6269164,886610,3430,1973,23.776319213569717,1.0
6233027,256348,3806,7045,10973.825649036122,1.0
6584906,1231534,28317,28047,873.872334907465,1.0
6711027,2517046,6861,2157,551.9157820270897,0.4
6694577,2334654,6861,2157,532.5776714199587,0.6
6620778,1689154,45066,45068,1.222470850810697,1.0
6294437,1105738,45068,45068,0.914247876692054,1.0
6238009,319297,28296,3769,9207.036061287257,0.42857142857142855
6218956,121089,28296,3769,3428.865284718067,0.5714285714285714
6331895,1612805,22734,2107,2385.8888987406767,1.0
6233209,265444,2107,3482,35.601182859296514,1.0
6381350,2231263,1975,2200,3814.768476182412,1.0
6274991,957047,6866,6972,13732.179751831147,0.14285714285714285
6457103,3069062,6866,6972,4969.115724923012,0.8571428571428571
6408420,2520092,3764,2589,2589.839616611282,0.4
6389461,2305467,3764,2589,6888.304051508139,0.6
6389600,2305520,2589,2560,777.1658521039831,1.0
6357250,1885287,16816,2586,4260.827416802752,0.2
6219247,123279,16816,2586,11535.107063924443,0.8
6261230,656036,2586,1934,39.7665021924949,1.0
6430291,2741980,2090,2524,358.83118987579564,1.0
6377200,2183568,2815,29772,25.068556404885687,1.0
6301095,1237900,23924,2236,9490.83749131252,1.0
6335204,1676137,6866,6866,3.933856092568817,1.0
6332716,1622770,1957,5695,40.84415414579526,0.5
6346160,1769834,1957,5695,41.661989936759696,0.5
6434262,2808026,3697,1970,303.73393895558155,1.0
6281727,989119,2379,149,4300.028991531861,1.0
6443095,2895926,1986,2629,482.34178646351836,1.0
6382660,2268711,43411,2038,426.4418817346239,1.0
6769588,3023549,2005,17918,15144.09963946158,0.28
6674884,2044350,2005,17918,13880.5375536531,0.72
6281632,988951,2959,2379,12810.408535471523,1.0
6246669,485792,2379,2378,4.723305744654767,1.0
6219481,126327,2496,2283,184.75972172658786,0.3333333333333333
6320483,1522053,2496,2283,184.3030561074156,0.6666666666666666
6328044,1564560,25367,2240,10.563612457358936,1.0
6642414,1808300,2283,2005,5094.797109078041,0.4
6752834,2893998,2283,2005,14627.591903939796,0.6
6756472,2936725,2283,537,73.88154575893508,0.25806451612903225
6605078,1460425,2283,537,79.40118960088549,0.7419354838709677
6610392,1520604,17128,4731,37.816826296726006,0.37037037037037035
6682244,2213495,17128,4731,37.84464586293258,0.6296296296296297
6304931,1276440,6756,6753,8.395667889625624,1.0
6381493,2235134,6751,2959,701.6128715405888,1.0
6441183,2876327,2283,2496,192.24772344162363,1.0
6283003,991303,3146,2005,9471.65330894019,0.375
6441960,2876387,3146,2005,12535.22529757809,0.625
6312402,1377260,25375,2005,959.9632614772421,1.0
6320751,1530404,2005,7008,964.9274188431081,1.0
6255954,595304,2149,2458,205.4449537043152,1.0
6267258,855759,3032,3493,73.70647700957474,1.0
6348000,1797747,2742,3646,6659.97605478206,1.0
6289328,1078025,1926,7101,328.41722700897253,1.0
6374775,2098998,2866,2138,2349.2257847446426,1.0
6267058,846923,2054,6817,852.3126561163265,1.0
7022457,2789050,2112,2111,2795.3282562396676,0.08
6993511,2544725,2112,2111,1716.021642760681,0.92
6370787,2017445,3637,2011,4033.2657886694287,1.0
6298209,1198151,2640,5622,145.67352827588883,1.0
6333143,1637216,5622,16816,1232.564402346835,1.0
6316809,1441635,16776,16776,31.937049442086536,1.0
6371836,2024208,3292,3302,9.475445341082354,1.0
6310769,1353862,1717,1594,1468.0718482323123,1.0
6307076,1332152,6897,6897,1.3870164495968718,1.0
6448188,2964700,2164,3145,3347.4159669201417,1.0
6734172,2735727,2171,1967,902.118255516869,1.0
6261762,676765,4052,3637,814.8544799390847,1.0
6446935,2941547,3637,2866,13276.132308512875,1.0
6352503,1845507,4085,2794,368.57001048293154,0.29411764705882354
6376192,2117380,4085,2794,415.25962509386176,0.7058823529411765
6730123,2717800,2912,17340,597.4903633401001,1.0
6305216,1278676,3420,2184,2021.8334247102077,1.0
6749183,2818651,2184,2012,59.83158579645953,1.0
6239075,344060,18659,16496,1311.7214810001426,1.0
6451448,3000005,3343,4156,3917.374142564353,1.0
6438606,2859408,1341,3099,16640.3371888266,1.0
6293225,1103815,3343,4092,15107.00414701313,0.2857142857142857
6432963,2781335,3343,4092,9681.253477542687,0.7142857142857143
6263909,763294,4052,4092,4516.263683409654,1.0
6343075,1719642,1917,2157,5503.211506745303,0.5
6368764,1995666,1917,2157,5656.327769084984,0.5
6290092,1085777,6827,5354,527.7868622912147,1.0
6319918,1514234,5354,18612,21.179757751593662,1.0
6376297,2123772,2659,3864,540.7566649009627,1.0
6332910,1633818,1776,4451,1633.6994755665692,0.16666666666666666
6345593,1756538,1776,4451,1196.743493334703,0.8333333333333334
6395502,2353532,2112,28119,11265.49992598783,1.0
6454213,3043848,23956,6819,191.86536252374114,1.0
6219487,152558,15524,15522,1.6939424367252913,1.0
6219484,152487,15522,15522,1.6760617195868406,1.0
6321322,1531545,2005,2325,582.8861869327292,1.0
6306640,1314209,2325,2195,207.5779505327321,1.0
6216586,110128,15230,24037,0.6425919947135867,1.0
6219532,154945,2464,6999,150.41469860348727,0.35714285714285715
6352622,1854462,2464,6999,152.65002922287317,0.6428571428571429
6328040,1562480,7019,29747,408.0777415386519,1.0
6256042,602808,1982,3832,284.5397267531627,1.0
6409434,2528443,2297,1979,10489.367551737621,0.35714285714285715
6220459,154970,2297,1979,3707.925197328128,0.6428571428571429
6331419,1601837,1986,1979,34.56544036959483,1.0
6306347,1289475,3296,2148,1592.4232715822507,1.0
6584909,1234782,2148,3553,20.73888850025819,0.12
6777944,3062455,2148,3553,14.920049672216406,0.88
6285885,1024306,3553,2113,53.75910099229927,0.16666666666666666
6316925,1443627,3553,2113,159.04996933446571,0.8333333333333334
6485616,224065,2113,2959,10477.349297771323,0.4186046511627907
6628216,1711399,2113,2959,9593.428078111152,0.5813953488372093
6714133,2533313,2959,2034,8738.010578423064,1.0
6231994,252932,2040,3989,743.9210615189404,1.0
6246396,460520,3513,2682,255.83395609680701,0.5
6442988,2888455,3513,2682,254.6464671702802,0.5
6763912,2985733,2458,16816,23536.58946836467,0.4166666666666667
6688650,2262716,2458,16816,15623.526942347857,0.5833333333333334
6243060,434807,3269,17341,3835.391860006836,0.16666666666666666
6342496,1711720,3269,17341,1380.5243843796068,0.8333333333333334
6349500,1807214,2682,25276,1426.8911440018544,0.36363636363636365
6382516,2250995,2682,25276,1177.473333962471,0.6363636363636364
6532373,763050,25276,1995,25568.191157840607,1.0
6651241,1859638,2959,43329,7277.166469495547,1.0
6484467,223960,2033,1986,2514.4477002120757,1.0
6394267,2347664,2040,2624,17631.09060368108,1.0
6262433,719461,3348,26821,160.69265258683353,0.3157894736842105
6402766,2443401,3348,26821,175.1363613550958,0.6842105263157895
6384556,2280634,2922,1940,19585.9206578632,1.0
6402623,2434104,1940,7013,45.274604800198595,1.0
6305287,1283861,7013,2005,354.49098055064985,1.0
6612818,1543649,7007,3941,11731.94297402019,1.0
6350104,1816041,3918,28355,414.0102882490089,0.36363636363636365
6359682,1895606,3918,28355,562.3971581044377,0.6363636363636364
6223244,155383,2682,1940,25884.567322007988,0.5
6336170,1680301,2682,1940,29538.513146653324,0.5
6556748,1044719,2040,2038,516.6092893365824,1.0
6342169,1711713,2458,3269,21587.367616153468,1.0
6391393,2322796,4734,23783,27166.88780518349,1.0
6223341,172541,6924,23787,50.70420529037941,0.375
6377141,2158103,23787,2672,4348.491899231334,0.625
6405044,2460085,2672,756,4381.284255871187,0.13513513513513514
6310642,1347008,2672,756,4635.563626880958,0.8648648648648649
6345245,1746748,2171,2940,8864.990034713439,0.22727272727272727
6433909,2792377,2171,2940,11083.620462329485,0.7727272727272727
6445057,2913143,2940,1934,11460.143757792419,1.0
6633492,1747174,2101,16816,22803.920117623125,0.2857142857142857
6594010,1339428,2101,16816,23273.210717713027,0.7142857142857143
6306561,1304596,15191,3609,3879.820518263438,1.0
6231648,239088,6053,3807,33.66661743260807,0.058823529411764705
6312417,1378217,6053,3807,17.66693158641987,0.9411764705882353
6398008,2373173,3906,29722,5950.046748539755,0.5
6412753,2595107,3906,29722,4535.113645403136,0.5
6311339,1360197,3001,28610,1782.7224681746402,0.26666666666666666
6298311,1201563,3001,28610,1877.7826805864652,0.7333333333333333
6223345,172599,3350,3358,0.4263491920153188,0.10810810810810811
